date,stadium,latitude,longitude,temperature_2m_mean,precipitation_sum,windspeed_10m_max
2013-10-22,Arena Națională,44.4387,26.1224,14.1,0.0,9.9
2013-10-22,Emirates Stadium,51.5549,-0.1084,15.9,7.2,23.5
2013-10-22,Orange Vélodrome,43.2697,5.3955,20.2,0.0,40.1
2013-10-22,Estádio do Dragão,41.1614,-8.5835,16.8,52.2,27.2
2013-10-22,Celtic Park,55.8497,-4.2054,13.7,9.1,22.1
2013-10-22,Giuseppe Meazza,45.4781,9.124,15.0,8.2,8.4
2013-10-23,Arena Khimki,55.8918,37.3601,0.0,0.0,24.0
2013-10-23,BayArena,51.0383,7.0022,16.9,9.2,25.6
2013-10-23,Old Trafford,53.4631,-2.2913,12.0,7.4,31.1
2013-10-23,Santiago Bernabéu,40.4531,-3.6883,13.6,0.0,15.1
2013-10-23,Ali Sami Yen Spor Kompleksi RAMS Park,41.0765,28.9834,15.1,0.0,24.5
2013-10-23,Constant Vanden Stock Stadion,50.8339,4.3014,16.2,2.5,32.1
2013-10-23,Estádio da Luz,38.7527,-9.1846,18.7,5.9,29.5
2013-10-23,Allianz Arena,48.2188,11.6247,12.9,6.0,14.1
2013-11-05,Anoeta,43.3014,-1.9737,15.7,38.1,38.4
2013-11-05,Donbass Arena,48.0228,37.7697,11.6,0.0,19.2
2013-11-05,Allianz Stadium,45.1096,7.6412,10.0,0.0,7.9
2013-11-05,Parken,55.7027,12.5783,7.3,0.0,24.7
2013-11-05,Stadio Georgios Karaiskakis,37.9368,23.6689,19.4,0.8,24.5
2013-11-05,Parc des Princes,48.8414,2.253,8.1,4.2,26.8
2013-11-05,Doosan Aréna,49.7472,13.3875,6.4,0.2,20.7
2013-11-05,Etihad Stadium,53.4831,-2.2004,5.9,4.0,23.5
2013-11-06,Petrovsky,59.956,30.249,6.2,1.5,26.2
2013-11-06,Stamford Bridge,51.4816,-0.191,10.5,3.0,32.6
2013-11-06,St. Jakob-Park,47.542,7.6208,11.1,8.4,21.7
2013-11-06,SIGNAL IDUNA PARK,51.4926,7.4519,8.3,6.5,28.6
2013-11-06,Stadio Diego Armando Maradona,40.8278,14.193,16.0,0.0,9.6
2013-11-06,Spotify Camp Nou,41.3809,2.1228,18.7,0.0,18.3
2013-11-06,Johan Cruijff ArenA,52.3143,4.9411,9.4,4.3,30.0
2013-11-26,Petrovsky,59.956,30.249,-2.5,0.0,17.5
2013-11-26,St. Jakob-Park,47.542,7.6208,-0.4,0.2,13.8
2013-11-26,Arena Națională,44.4387,26.1224,2.7,5.3,23.3
2013-11-26,Emirates Stadium,51.5549,-0.1084,2.9,0.0,13.1
2013-11-26,SIGNAL IDUNA PARK,51.4926,7.4519,-0.5,0.0,7.6
2013-11-26,Celtic Park,55.8497,-4.2054,6.2,1.6,18.9
2013-11-26,Johan Cruijff ArenA,52.3143,4.9411,5.8,0.3,13.7
2013-11-27,Arena Khimki,55.8918,37.3601,-5.3,0.2,19.9
2013-11-27,BayArena,51.0383,7.0022,2.9,0.0,9.6
2013-11-27,Donbass Arena,48.0228,37.7697,1.8,0.0,15.1
2013-11-27,Santiago Bernabéu,40.4531,-3.6883,3.1,0.0,16.8
2013-11-27,Allianz Stadium,45.1096,7.6412,-1.9,0.0,8.4
2013-11-27,Constant Vanden Stock Stadion,50.8339,4.3014,3.8,0.0,7.9
2013-11-27,Parc des Princes,48.8414,2.253,4.9,0.0,10.2
2013-11-27,Etihad Stadium,53.4831,-2.2004,7.7,0.0,19.5
2013-12-10,Old Trafford,53.4631,-2.2913,5.4,0.0,16.5
2013-12-10,Anoeta,43.3014,-1.9737,8.2,0.0,17.8
2013-12-10,Parken,55.7027,12.5783,6.5,0.0,17.5
2013-12-10,Estádio da Luz,38.7527,-9.1846,11.0,0.0,26.1
2013-12-10,Stadio Georgios Karaiskakis,37.9368,23.6689,9.5,1.4,25.6
2013-12-10,Doosan Aréna,49.7472,13.3875,5.5,0.0,12.6
2013-12-10,Allianz Arena,48.2188,11.6247,3.8,0.0,10.4
2013-12-11,Veltins-Arena,51.5542,7.0678,4.2,0.0,12.1
2013-12-11,Stamford Bridge,51.4816,-0.191,3.0,0.0,12.4
2013-12-11,Stadio Diego Armando Maradona,40.8278,14.193,11.0,0.0,10.3
2013-12-11,Orange Vélodrome,43.2697,5.3955,8.6,0.0,8.4
2013-12-11,Vicente Calderón,40.3992,-3.7185,3.9,0.0,9.4
2013-12-11,Giuseppe Meazza,45.4781,9.124,2.2,0.0,6.8
2013-12-11,Spotify Camp Nou,41.3809,2.1228,9.0,0.0,9.6
2013-12-11,Ali Sami Yen Spor Kompleksi RAMS Park,41.0765,28.9834,2.0,17.9,39.1
2014-02-18,Etihad Stadium,53.4831,-2.2004,6.7,0.1,17.5
2014-02-25,Stadio Georgios Karaiskakis,37.9368,23.6689,10.3,0.1,16.6
2014-02-19,Giuseppe Meazza,45.4781,9.124,8.0,13.1,13.3
2014-02-18,BayArena,51.0383,7.0022,6.2,0.0,16.2
2014-02-26,Ali Sami Yen Spor Kompleksi RAMS Park,41.0765,28.9834,5.3,0.0,16.4
2014-02-26,Veltins-Arena,51.5542,7.0678,7.6,0.1,17.6
2014-02-25,Petrovsky,59.956,30.249,0.9,0.0,22.7
2014-02-19,Emirates Stadium,51.5549,-0.1084,6.7,0.0,16.3
2014-03-12,Spotify Camp Nou,41.3809,2.1228,10.8,0.0,24.2
2014-03-19,Old Trafford,53.4631,-2.2913,9.3,0.0,25.3
2014-03-11,Vicente Calderón,40.3992,-3.7185,9.9,0.0,13.6
2014-03-12,Parc des Princes,48.8414,2.253,10.4,0.0,14.0
2014-03-18,Stamford Bridge,51.4816,-0.191,9.3,0.3,31.0
2014-03-18,Santiago Bernabéu,40.4531,-3.6883,12.4,0.0,11.6
2014-03-19,SIGNAL IDUNA PARK,51.4926,7.4519,10.3,2.7,29.1
2014-03-11,Allianz Arena,48.2188,11.6247,4.8,0.0,15.5
2014-04-01,Spotify Camp Nou,41.3809,2.1228,12.9,0.0,14.5
2014-04-02,Santiago Bernabéu,40.4531,-3.6883,9.0,12.7,17.8
2014-04-02,Parc des Princes,48.8414,2.253,14.3,0.0,13.8
2014-04-01,Old Trafford,53.4631,-2.2913,10.7,5.1,9.7
2014-04-09,Vicente Calderón,40.3992,-3.7185,17.3,0.5,8.3
2014-04-08,SIGNAL IDUNA PARK,51.4926,7.4519,10.9,3.8,30.8
2014-04-08,Stamford Bridge,51.4816,-0.191,8.7,0.1,27.7
2014-04-09,Allianz Arena,48.2188,11.6247,8.1,0.1,20.3
2014-04-23,Santiago Bernabéu,40.4531,-3.6883,12.0,0.0,18.4
2014-04-22,Vicente Calderón,40.3992,-3.7185,12.2,0.0,16.9
2014-04-29,Allianz Arena,48.2188,11.6247,10.9,0.8,16.2
2014-04-30,Stamford Bridge,51.4816,-0.191,11.5,0.0,13.6
2014-05-24,Estádio da Luz,38.7527,-9.1846,13.7,0.0,28.1
2014-09-16,Stadio Georgios Karaiskakis,37.9368,23.6689,24.2,0.8,9.1
2014-09-16,Allianz Stadium,45.1096,7.6412,18.6,0.4,5.0
2014-09-16,Anfield,53.4308,-2.9608,15.7,0.0,18.4
2014-09-16,Santiago Bernabéu,40.4531,-3.6883,19.7,0.1,26.0
2014-09-16,Stade Louis-II,43.727,7.4155,20.6,0.5,9.2
2014-09-16,Estádio da Luz,38.7527,-9.1846,20.1,43.7,36.4
2014-09-16,Ali Sami Yen Spor Kompleksi RAMS Park,41.0765,28.9834,22.3,0.0,25.5
2014-09-16,SIGNAL IDUNA PARK,51.4926,7.4519,18.3,4.1,11.6
2014-09-17,Olimpico di Roma,41.9335,12.4544,21.3,0.2,6.0
2014-09-17,Allianz Arena,48.2188,11.6247,15.7,0.0,9.9
2014-09-17,Spotify Camp Nou,41.3809,2.1228,22.3,12.8,8.8
2014-09-17,Johan Cruijff ArenA,52.3143,4.9411,18.8,0.0,12.3
2014-09-17,Stamford Bridge,51.4816,-0.191,17.1,0.0,19.5
2014-09-17,Ljudski Vrt,46.5574,15.636,15.3,0.0,7.9
2014-09-17,Estádio do Dragão,41.1614,-8.5835,17.9,24.5,24.6
2014-09-17,San Mamés,43.2641,-2.9495,23.7,0.4,20.9
2014-09-30,Arena Khimki,55.8918,37.3601,10.2,4.3,25.5
2014-09-30,Etihad Stadium,53.4831,-2.2004,14.8,0.0,18.9
2014-09-30,Parc des Princes,48.8414,2.253,17.9,0.2,9.8
2014-09-30,GSP Stadium,35.1649,33.3649,,,
2014-09-30,Estádio José Alvalade,38.7612,-9.1605,19.6,0.0,21.7
2014-09-30,Veltins-Arena,51.5542,7.0678,16.1,0.1,14.8
2014-09-30,Arena Lviv,49.7906,23.9503,14.5,0.6,16.4
2014-09-30,Borisov-Arena,54.2482,28.5,12.2,0.0,20.7
2014-10-01,Petrovsky,59.956,30.249,7.2,0.0,17.3
2014-10-01,Vicente Calderón,40.3992,-3.7185,19.3,0.0,12.0
2014-10-01,Eleda Stadion,55.5927,12.9895,13.5,9.2,22.0
2014-10-01,Vasil Levski,42.6952,23.3394,14.9,0.0,8.5
2014-10-01,St. Jakob-Park,47.542,7.6208,16.6,0.3,7.1
2014-10-01,BayArena,51.0383,7.0022,15.1,0.0,6.9
2014-10-01,Constant Vanden Stock Stadion,50.8339,4.3014,16.0,0.0,10.9
2014-10-01,Emirates Stadium,51.5549,-0.1084,17.1,0.0,16.8
2014-10-21,Arena Khimki,55.8918,37.3601,0.5,4.4,23.5
2014-10-21,Olimpico di Roma,41.9335,12.4544,19.8,0.5,13.5
2014-10-21,GSP Stadium,35.1649,33.3649,18.7,0.0,9.3
